date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:56:56	9009/9009	---MCZ	200	added ('OK')	text/plain	date:Sun,%2021%20Jun%202026%2011:56:55%20GMT	https://renova-q.com/robots.txt		(from )
15:56:56	58172/58172	---MCZ	200	added ('OK')	text/html	date:Sun,%2021%20Jun%202026%2011:56:55%20GMT	https://renova-q.com/	C:/My%20Web%20Sites/renovaq/renova-q.com/index.html	(from )
15:56:57	301161/301161	---M--	200	added ('OK')	image/jpeg	etag:%228d92d5d83dfe38c82a62c27f6f5622be%22	https://renova-q.com/img/logo-web.jpeg	C:/My%20Web%20Sites/renovaq/renova-q.com/img/logo-web.jpg	(from https://renova-q.com/)
15:56:57	124020/124020	---M--	200	added ('OK')	image/webp	etag:%22348f4aeaa5814493828fc3ced70aa03e%22	https://renova-q.com/img/logo.webp	C:/My%20Web%20Sites/renovaq/renova-q.com/img/logo.webp	(from https://renova-q.com/)
15:56:58	102641/102641	---M-Z	200	added ('OK')	text/css	date:Fri,%2001%20Dec%202023%2000:32:25%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	C:/My%20Web%20Sites/renovaq/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.1/css/all.min.css	(from https://renova-q.com/)
15:56:58	148/148	---M--	200	added ('OK')	text/html	date:Sun,%2021%20Jun%202026%2011:56:57%20GMT	https://renovaq.com/img/logo-web.jpeg	C:/My%20Web%20Sites/renovaq/renovaq.com/img/logo-web.html	(from https://renova-q.com/)
15:56:58	2236/2236	---MCZ	200	added ('OK')	text/css	etag:W/%22a478a7986f31c553a42224b271b8ed64%22	https://renova-q.com/topBar%201/css/ebtb1-topBar.css	C:/My%20Web%20Sites/renovaq/renova-q.com/topBar%201/css/ebtb1-topBar.css	(from https://renova-q.com/)
15:56:59	11268/11268	---MCZ	200	added ('OK')	text/css	etag:W/%22b0b55e42f67aa743e85df0c264024112%22	https://renova-q.com/header%203/css/ebhdr3-navbar.css	C:/My%20Web%20Sites/renovaq/renova-q.com/header%203/css/ebhdr3-navbar.css	(from https://renova-q.com/)
15:56:59	4206/4206	---MCZ	200	added ('OK')	text/css	etag:W/%22ff3b639459549195c6d189aea1344b33%22	https://renova-q.com/hero%203/css/ebhro3-hero.css	C:/My%20Web%20Sites/renovaq/renova-q.com/hero%203/css/ebhro3-hero.css	(from https://renova-q.com/)
15:56:59	4985/4985	---MCZ	200	added ('OK')	text/css	etag:W/%22c1935a7682994272ee7dfd0c30a744c2%22	https://renova-q.com/services%203/css/ebsrv3-services.css	C:/My%20Web%20Sites/renovaq/renova-q.com/services%203/css/ebsrv3-services.css	(from https://renova-q.com/)
